,R1,R2,R3,R4,R5,R6,L1,L2,L3,L4,L5,T1,C2,C3,a1,a2,a3,a4,a5,a6
R1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,40,43,37,38,38,45,0,3,0,0,0,0,0,3,0,0,0,0,0,0
L2,46,45,39,41,39,47,0,0,0,2,0,0,3,5,0,0,0,0,0,0
L3,11,10,4,8,6,12,0,0,0,0,0,0,0,0,1,1,1,3,5,1
L4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,3,0
L5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
T1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,8,6,7,12,3,13
C2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
C3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
a1,19,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
a2,0,22,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
a3,0,0,20,16,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
a4,0,0,0,17,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
a5,0,0,0,0,10,14,0,0,0,0,0,0,1,2,0,0,0,0,0,0
a6,17,0,0,0,0,22,0,0,0,0,0,0,1,3,0,0,0,0,0,0
